,name,company,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,Maruti 800 AC,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
1,Maruti Wagon R,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
2,Hyundai Verna 1.6,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
3,Datsun RediGO T,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
4,Honda Amaze VX,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
5,Maruti Alto LX,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
6,Hyundai Xcent 1.2,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
7,Tata Indigo Grand,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
8,Hyundai Creta 1.6,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
9,Maruti Celerio Green,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
10,Chevrolet Sail 1.2,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
11,Tata Indigo Grand,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
12,Toyota Corolla Altis,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
13,Maruti 800 AC,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
14,Maruti Wagon R,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
15,Hyundai Verna 1.6,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
16,Datsun RediGO T,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
17,Honda Amaze VX,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
18,Maruti Alto LX,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
19,Hyundai Xcent 1.2,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
20,Tata Indigo Grand,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
21,Hyundai Creta 1.6,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
22,Maruti Celerio Green,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
23,Chevrolet Sail 1.2,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
24,Tata Indigo Grand,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
25,Toyota Corolla Altis,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
26,Maruti Ciaz VXi,Maruti,2015,585000,24000,Petrol,Dealer,Manual,First Owner
27,Hyundai Venue SX,Hyundai,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
28,Chevrolet Enjoy TCDi,Chevrolet,2013,390000,33000,Diesel,Individual,Manual,Second Owner
29,Jaguar XF 2.2,Jaguar,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
30,Mercedes-Benz New C-Class,Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
31,Maruti Vitara Brezza,Maruti,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
32,Audi Q5 2.0,Audi,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
33,Honda City V,Honda,2018,930000,14500,Petrol,Dealer,Manual,First Owner
34,Tata Tigor 1.2,Tata,2018,525000,15000,Petrol,Individual,Manual,First Owner
35,Audi A6 2.0,Audi,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
36,Mercedes-Benz New C-Class,Mercedes-Benz,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
37,Skoda Superb Ambition,Skoda,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
38,Toyota Corolla Altis,Toyota,2016,900000,50000,Petrol,Individual,Automatic,First Owner
39,Toyota Innova 2.5,Toyota,2015,1300000,80000,Diesel,Individual,Manual,First Owner
40,Jeep Compass 1.4,Jeep,2019,1400000,10000,Petrol,Individual,Manual,First Owner
41,Mercedes-Benz E-Class E,Mercedes-Benz,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
42,Hyundai i10 Magna,Hyundai,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
43,BMW 3 Series,BMW,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
44,Audi Q7 35,Audi,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
45,Hyundai Elantra CRDi,Hyundai,2012,625000,40000,Diesel,Individual,Manual,First Owner
46,Mahindra Scorpio 1.99,Mahindra,2014,1050000,50000,Diesel,Individual,Manual,First Owner
47,Honda City i,Honda,2014,560000,74000,Diesel,Individual,Manual,Second Owner
48,Maruti Wagon R,Maruti,2014,290000,64000,Petrol,Individual,Manual,Second Owner
49,Maruti Wagon R,Maruti,2012,275000,60000,Petrol,Individual,Manual,Second Owner
50,Mahindra Scorpio LX,Mahindra,2009,411000,120000,Diesel,Individual,Manual,Second Owner
51,Hyundai Santro Xing,Hyundai,2009,150000,79000,Petrol,Individual,Manual,Third Owner
52,Hyundai Grand i10,Hyundai,2019,500000,15000,Petrol,Individual,Manual,First Owner
53,Maruti Alto LXi,Maruti,2006,100000,80000,Petrol,Individual,Manual,First Owner
54,Maruti Swift Dzire,Maruti,2017,725000,18500,Diesel,Dealer,Manual,First Owner
55,Maruti Eeco 5,Maruti,2018,401000,10200,Petrol,Dealer,Manual,First Owner
56,Hyundai i20 Sportz,Hyundai,2018,750000,29000,Diesel,Dealer,Manual,First Owner
57,Maruti Omni Maruti,Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner
58,Maruti Swift ZDi,Maruti,2016,665000,46000,Diesel,Dealer,Manual,First Owner
59,Hyundai i20 2015-2017,Hyundai,2014,465000,70000,Diesel,Dealer,Manual,First Owner
60,Maruti Alto LXi,Maruti,2012,160000,60000,Petrol,Individual,Manual,Second Owner
